_id,recommended,rating_valuemoney,rating_overall,rating_inflightEnt,rating_cabinstaff,rating_seatcomfort,rating_foodbeverage
ObjectId(58994af99bf56223b02ab967),1,4,7,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02ab968),1,4,8,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02ab969),1,1,5,1,4,3,1
ObjectId(58994af99bf56223b02ab96b),0,0,2,0,1,3,3
ObjectId(58994af99bf56223b02ab96e),1,5,10,4,5,5,5
ObjectId(58994af99bf56223b02ab970),1,5,9,0,5,3,5
ObjectId(58994af99bf56223b02ab972),0,2,6,1,1,3,4
ObjectId(58994af99bf56223b02ab974),1,4,7,0,5,3,3
ObjectId(58994af99bf56223b02ab976),1,4,8,4,4,4,4
ObjectId(58994af99bf56223b02ab977),1,5,9,4,5,4,4
ObjectId(58994af99bf56223b02ab979),0,2,4,1,4,2,2
ObjectId(58994af99bf56223b02ab97d),1,4,9,0,5,4,0
ObjectId(58994af99bf56223b02ab97f),1,3,8,4,5,2,4
ObjectId(58994af99bf56223b02ab982),1,5,10,5,5,5,5
ObjectId(58994af99bf56223b02ab984),1,5,10,4,5,5,4
ObjectId(58994af99bf56223b02ab985),1,4,10,4,5,4,5
ObjectId(58994af99bf56223b02ab986),1,3,10,4,5,4,4
ObjectId(58994af99bf56223b02ab988),0,1,NaN,1,1,0,1
ObjectId(58994af99bf56223b02ab98a),0,1,NaN,4,1,3,1
ObjectId(58994af99bf56223b02ab98c),1,4,10,5,4,3,5
ObjectId(58994af99bf56223b02ab990),1,4,7,4,4,4,2
ObjectId(58994af99bf56223b02ab993),0,2,5,3,3,1,3
ObjectId(58994af99bf56223b02ab995),0,2,4,0,1,3,1
ObjectId(58994af99bf56223b02ab996),1,4,10,5,5,3,3
ObjectId(58994af99bf56223b02ab997),1,4,10,0,5,4,5
ObjectId(58994af99bf56223b02ab999),1,5,10,NaN,5,5,5
ObjectId(58994af99bf56223b02ab99b),0,3,6,3,4,4,4
ObjectId(58994af99bf56223b02ab99d),0,NaN,NaN,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02ab99f),1,5,6,3,2,3,2
ObjectId(58994af99bf56223b02ab9a1),0,NaN,3,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02ab9a3),1,3,7,2,3,5,0
ObjectId(58994af99bf56223b02ab9a5),0,1,1,1,2,1,1
ObjectId(58994af99bf56223b02ab9a7),1,5,10,4,5,4,4
ObjectId(58994af99bf56223b02ab9a9),1,4,8,NaN,2,2,4
ObjectId(58994af99bf56223b02ab9ab),1,3,7,4,3,3,4
ObjectId(58994af99bf56223b02ab9ad),0,3,5,3,3,3,3
ObjectId(58994af99bf56223b02ab9af),0,2,4,2,4,2,1
ObjectId(58994af99bf56223b02ab9b1),0,2,1,1,3,2,1
ObjectId(58994af99bf56223b02ab9b3),1,3,5,3,2,3,2
ObjectId(58994af99bf56223b02ab9b5),0,1,NaN,NaN,1,1,1
ObjectId(58994af99bf56223b02ab9b8),0,0,3,2,2,2,3
ObjectId(58994af99bf56223b02ab9bb),1,4,7,4,4,4,4
ObjectId(58994af99bf56223b02ab9bd),0,3,3,3,2,2,3
ObjectId(58994af99bf56223b02ab9bf),0,3,NaN,2,3,3,3
ObjectId(58994af99bf56223b02ab9c1),0,1,NaN,3,1,2,1
ObjectId(58994af99bf56223b02ab9c3),1,4,9,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02ab9c5),1,5,6,4,3,5,2
ObjectId(58994af99bf56223b02ab9c7),1,5,8,2,4,4,4
ObjectId(58994af99bf56223b02ab9c9),0,2,NaN,1,3,1,1
ObjectId(58994af99bf56223b02ab9cb),1,4,8,0,5,4,4
ObjectId(58994af99bf56223b02ab9cd),1,5,7,4,4,4,3
ObjectId(58994af99bf56223b02ab9cf),1,4,9,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02ab9d0),1,1,5,NaN,NaN,NaN,NaN
ObjectId(58994af99bf56223b02ab9d2),1,4,8,1,5,3,4
ObjectId(58994af99bf56223b02ab9d4),1,4,8,NaN,3,2,3
ObjectId(58994af99bf56223b02ab9d6),1,5,8,NaN,4,3,2
ObjectId(58994af99bf56223b02ab9d7),1,5,9,NaN,5,4,4
ObjectId(58994af99bf56223b02ab9d8),0,1,1,3,1,2,1
ObjectId(58994af99bf56223b02ab9da),0,1,1,3,1,3,2
ObjectId(58994af99bf56223b02ab8ce),1,5,8,3,4,5,5
ObjectId(58994af99bf56223b02ab8d0),0,2,NaN,1,1,1,1
ObjectId(58994af99bf56223b02ab8d2),1,5,9,0,5,4,5
ObjectId(58994af99bf56223b02ab8d4),0,2,NaN,1,1,1,1
ObjectId(58994af99bf56223b02ab8d6),0,2,1,2,3,2,2
ObjectId(58994af99bf56223b02ab8d8),0,1,1,1,1,1,1
ObjectId(58994af99bf56223b02ab8da),0,2,2,2,2,2,2
ObjectId(58994af99bf56223b02ab8dc),1,4,10,4,5,4,5
ObjectId(58994af99bf56223b02ab8de),0,2,1,3,4,2,3
ObjectId(58994af99bf56223b02ab8e0),0,1,1,2,3,1,2
ObjectId(58994af99bf56223b02ab8e1),1,4,9,4,4,4,4
ObjectId(58994af99bf56223b02ab8e3),1,5,9,5,5,3,4
ObjectId(58994af99bf56223b02ab8e5),0,1,1,1,1,1,1
ObjectId(58994af99bf56223b02ab8e6),0,3,2,4,1,4,3
ObjectId(58994af99bf56223b02ab8e8),0,1,NaN,1,1,3,2
ObjectId(58994af99bf56223b02ab8ea),0,1,1,2,1,1,2
ObjectId(58994af99bf56223b02ab8ec),1,5,10,5,5,5,5
ObjectId(58994af99bf56223b02ab8ed),1,5,10,5,5,5,0
ObjectId(58994af99bf56223b02ab8ef),0,1,NaN,0,1,0,0
ObjectId(58994af99bf56223b02ab8f0),1,5,10,NaN,5,5,5
